:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
0	:invoke	:generate	nil
1	:ok	:generate	"168452020497889400088"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520204979996000701"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520204982054000459"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520204983871000454"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520204985248000227"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520204986967000518"
1	:ok	:generate	"1684520204987012000225"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520204988947000854"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520204990026000115"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520204993992000104"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520204995509000554"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520204997794000937"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1684520204999384000179"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205001125000685"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205001784000926"
2	:ok	:generate	"1684520205003158000503"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205004350000643"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205006254000560"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205010058000249"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205012684000693"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205017324000673"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205021704000792"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205024370000994"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205026320000406"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205029084000568"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205033269000118"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205037627000747"
2	:invoke	:generate	nil
0	:ok	:generate	"168452020503859400094"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205042873000568"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205045334000126"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205046910000539"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205049257000518"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205050943000796"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205051414000705"
1	:ok	:generate	"1684520205052743000685"
1	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205053868000544"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205055537000188"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205056547000412"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205057024000946"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205059079000528"
1	:invoke	:generate	nil
0	:ok	:generate	"168452020506010200027"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205061613000407"
1	:ok	:generate	"1684520205062417000274"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205064851000563"
1	:ok	:generate	"1684520205065736000566"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205067856000981"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205068763000289"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205069932000229"
0	:invoke	:generate	nil
2	:ok	:generate	"168452020507093700031"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205072455000665"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205074788000581"
0	:ok	:generate	"1684520205074785000213"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205076346000415"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205077897000739"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205078978000764"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205080720000104"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205082135000504"
0	:invoke	:generate	nil
2	:ok	:generate	"16845202050843200001"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205085093000800"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205086103000291"
2	:ok	:generate	"1684520205087175000703"
0	:ok	:generate	"1684520205087362000483"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205089198000240"
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205090094000171"
0	:invoke	:generate	nil
2	:ok	:generate	"1684520205091387000463"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205095423000580"
1	:ok	:generate	"1684520205095643000231"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205096888000489"
2	:invoke	:generate	nil
1	:ok	:generate	"168452020509890500036"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205101596000166"
0	:ok	:generate	"1684520205102179000272"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205103032000658"
2	:ok	:generate	"1684520205104329000287"
0	:ok	:generate	"1684520205104505000610"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1684520205107155000141"
1	:ok	:generate	"1684520205107697000179"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"1684520205109960000881"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1684520205111287000178"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205113294000986"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520205115299000182"
1	:invoke	:generate	nil
2	:ok	:generate	"168452020511582600070"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520205117208000694"
